Tweet Id,Text,Username,followers,listedcount,retweeted
1242239629954355201,"#ChinaVirus

Nasceu na China, é chinês! https://t.co/C3Btcg60be",arcella1717,2700,5,
1242239588715745280,"@Ambellina77 Well @realDonaldTrump said hydroxy-chloroquine!! Big difference from chloroquine phosphate. They just saw #chloroquine and went for it. SMH
#COVID19 #ChinaVirus #WuhanVirus #Coronavirus",TRUTHisWithinU,394,2,
1242239562161639424,@outcold1 @mrctv @CmdrProton https://t.co/YDmDvmKB01  #COVID19 #CoronavirusNewYork #ChinaVirus #ChinaLiedPeopleDied @stopvaccinating @learntherisk @bigleaguepol,train2bebetter,2246,18,
1242239418171371520,"@gchikermane #ChinaVirus I hope, there is a laid-down protocol for admissions based on age, he could criticality, namaste survival possibility etc not only for this facility but in all facilities created to handle.

It is very important that VIP's and the influential don't corner facilities.",seshanm,890,11,
1242239390413467648,@jaketapper #ChinaVirus,ClarenceDobson,31,3,
1242239354451505152,"@the_democratics @PrisonPlanet Correction, it's #ChinaVirus!!!",escudodaga,257,2,
1242239264441675776,"@RepAndyHarrisMD #QAnon #3897 #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag https://t.co/o8h9eMUHZe",skyfall1776,720,3,
1242239090113855488,"Communist #China lied, obfuscated and covered up - and its still not being truthful.
Communists cannot be trusted, and they will take (are taking) the rest of the world down.

#ChineseVirus #ChineseCoronavirus 
#ChineseWuhanVirus 
#ChinesePlague 
#ChinaVirus
#ChinaLiedPeopleDied https://t.co/kpHZIdeQDq",IanJamesSeale,1913,4,
1242238784994861056,"Was the #ChinaVirus unleashed upon the world over a Presidential election? I am so angry beyond word's right now! Politician's, Mockingbird Media, celebrities, academics, people in high positions of power.....all part of the swamp that's led us to this point 😡 #DrainTheSwamp https://t.co/oe2ojOPTyd",shoelaces007,1082,0,
1242238723439448064,"@ClaireRChen @hezbolleninism Starts and stripes forever lady, you can keep your government fish and sticks and social points system in the commie world, I’ll be toting my .45 quarantined in my house waiting for any domestic enemy to strike 🇺🇸 #chinavirus #itcamefromchina",coronainmyveins,3,0,
1242238674638495745,"Sudah benar Trump bilang #ChinaVirus mengingatkan dunia kalau Corona ini Made in China. 

Sebutan ‘virus China’ itu politis. Perlawanan terakhir AS sebelum resmi menanggalkan mahkota pemimpin global untuk selanjutnya disandang oleh China. 

from 🦠 to 👑 🇨🇳",jusdalle,9805,26,
1242238517150748672,"@romaniac88 @mtaufikmJKT48 Nama #VirusChina kurang tepat, lbh tepat #ChinaVirus atau #VirusCina.",NephiLaxmus,24338,24,
1242238422271459329,"イタリア、#武漢肺炎(#新型コロナウイルス)南部シチリア島でも感染確認
https://t.co/toEMiRgRUd

Coronavirus in Sicilia,115 positivi e 72 ricoverati
https://t.co/UpqbtRdOJR

#Chinavirus
#Sicilia #Sicily #Italia #Italy #Palermo
#Corleone #Cunigghiuni
#大日本皇國大須感染症研究会
#大須",yamap888,9847,99,
1242238388914323461,"@Tobbogan_MD @KidOnLadder @RealChrisLittle @PrisonPlanet This is China.
#ChinaVirus #Coronavirus
*STRONG IMAGES*
Poor puppy.😞 https://t.co/QYGAVZfa86",escudodaga,257,2,
1242238308371107840,"Notice the date this was written.  It was all about stoping POTUS gains. The dems tried to sneak past a no ID vote by mail 2020 election rule in todays bill.  Everything else failed.  Virus + No Voter ID + No Biden events = Dem party survival
#ChinaVirus #PelosiBlockedYourCheck https://t.co/vWJ9oWQuBs",Zia_Correa,259,2,
1242238191182024704,#ChinaVirus https://t.co/En0ozXdcWk,BeetaBenjy,1224,274,
1242238128959692806,"Bien raro que Fedecámaras esté en desacuerdo, si ""connotados empresarios"", estaban alabando ""el modelo chino""; pues ahí lo tienen y con #ChinaVirus incluído! https://t.co/BoPhjF6lf7",ramirofalconm,10369,38,
1242238026970845184,"""the CHINA virus""

#COVID19 #COVIDー19 #ChineseVirus #ChinaVirus https://t.co/0iUpX4eeOU",SkorpionHALO,232,3,
1242237978824585216,"@rdstrick777 @benshapiro Hey Rick, get tested ASAP. I think the #ChinaVirus is affecting your brain",insightsonusa,252,0,
1242237937120509952,"You are a representative in the State of California but you talk likes your trash, where is the professionalism Californians deserve?  You gave all the hospital supplies to illegal aliens!  How’s your $4 million dollar house? You got #ChinaVirus yet? #LockHerUp https://t.co/ohHFgLAIKS",trusokoff,4433,3,
1242237862852071426,"REVEALED: #WHO Director General, Tedros Adhanom Ghebreyesus, Reportedly Ranking Member of Known #terrorist Organization and #ChinaVirus Puppet
https://t.co/uEkaxZ6Qlr",Free_Range_Bum,138,3,
1242237854425718784,"@TomFitton #QAnon #3896 #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag https://t.co/ZnBiXvL0Yh",skyfall1776,720,3,
1242237765548269568,"@SenTomCotton @SpeakerPelosi #QAnon #3896 #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag https://t.co/lYGgen6PAc",skyfall1776,720,3,
1242237607725023233,"I agree with @PaulineHansonOz 
#ChineseVirus #ChinaVirus #XIJINPINGVIRUS #auspol https://t.co/4JFPKWP7Z5",Highcountrysoul,603,2,
1242237541547294720,@refinedmess Remember when Trump was calling #COVID19 #ChinaVirus oh like 2 dyas ago?,ScreenCaffeen,2331,158,
1242237469480886280,@JeffreyGuterman @realDonaldTrump #ChinaVirus #ChinaLiedPeopleDied,BRASILE74586218,232,0,
1242237466947584000,@BigBenSoftware There has never been a better time to buy a Time Machine with an mp3 player built in as standard :-) The Back To The Future mp3 Jukebox Time Machine #coronavirus #chinavirus #COVID19 #WuhanVirus #StayAtHomeSaveLives https://t.co/orTUuYzKX1,BigBenSoftware,1143,33,
1242237284792987648,"#武漢コロナウイルス
#ゼロ号患者
#武汉病毒 
#武汉病毒研究所
#武汉死亡人数
#武漢ウイルス死亡者
#生物化学兵器
#要注意の人物⚠️
#岩田健太郎
#責任転嫁
#wuhancorona 
#Wuhantruth
#WuhanCoronavius 
#wuhanstrong 
#WuhanVirus 
#wuhanpnemonia 
#ChinaVirus
#CCPVirus https://t.co/5PbfkwAY7b",Tk40245489,972,4,
1242236989509951489,"Why!! @ChinaDaily
You should just keep on with the Copy Copy and the Imitation of Products 
Is it by force to be an Originator? 
The only original product from you is Coro-Coro-Death the #ChinaVirus aka #CoronaVirus nicknamed COVID-19
#TakePrecautionaryMeasures
#WeAreWhoWeAre",KwadzoIAm,2517,2,
1242236920748539906,We now have something else to.hold against communism #ChinaVirus #ChinaLiedAndPeopleDied #bbcnews #skynews #itvnews #c4news #COVIDー19,Unionbuster,1305,148,
1242236883607879687,@BerilDeniz77 @s_hisar @hayrolayasemin @ayseucar5 @TurLdo @Bernado0707 @AdayEsat @Exodia313qwdtWx @sarukan13 @capulcu_ihtiyar Öyle mi dedi yoksa Ahmak mı dedi? #ChinaVirus,Elevitli,998,0,
1242236733393174530,"PREVENT [[D] party destruction] BY ANY MEANS NECESSARY.
These people are sick!
Nothing can stop what is coming.
Nothing.
Q

#QAnon #3897 #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag

https://t.co/XCHiJjiU1b",skyfall1776,720,3,
1242236712367120384,"WTF! No voter ID?  @SpeakerPelosi 
#COVIDー19 #NancyChokesWhilePeopleGoBroke #NancyPelosiRocks in the head instead of brains! #NancyPelosiHatesAmericans
#ChineseVirusCorona #ChinaVirus #WWG1WGA #QAnon #WeAreQ #JFKjr #JFK #corrupt https://t.co/G5maPaO63F",TheBauerPower44,8,0,
1242236679651389440,@SpeakerPelosi @HouseDemocrats Democrats squeezing in abortions and green deal nonsense when Americans need help! I wish the democrats would quit playing politics with our lives! #COVID19US #ChinaVirus,ShadyJ969,766,3,
1242236668746379264,"#ChinaVirus population 330m,1% death rate 3m,the elderly  &amp; underlying health conditions,death rate 8 to 16 thousand a day 6 months,army mass burials population after immunity established 327m or financially ruin 266m &amp; make USA a third world country? and open to attack",AsitIsCallingIO,4,0,
1242236435459121154,"PREVENT [[D] party destruction] BY ANY MEANS NECESSARY.
These people are sick!
Nothing can stop what is coming.
Nothing.
Q

#QAnon  #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag https://t.co/FZOTQAbX9X",skyfall1776,720,3,
1242236422263840768,@washingtonpost #ChinaVirus is your fav phrase if I remember correctly @realDonaldTrump #DontheCon,ChefAdolfo,2583,53,
1242236315611119626,This country is far more racist than it is political. There’s nothing political about calling this the #ChinaVirus. Trump is not a known politician he’s a known racist. The KKK has outlasted all political parties. We’ve elected 44 White men to office not b/c of their politics.,Big6domino,2498,94,
1242236227165859847,"@RitaPanahi Virus’ lives matter. I’m telling you, that’s next. #ChinaVirus",DimWittyNYC,408,3,
1242236212317913096,"@larsoer @GOPChairwoman @SenSchumer has enough 💰 money.
He doesn't need more greedy pay offs on this pork bill. He should
let the victims of the #ChinaVirus have their money Now!",crystal_night20,4259,94,
1242236095678631938,"@_patriotism_ @jdoriajr 
#globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242236077806624768,@CBSEveningNews @CBSNews I wonder who got to him? Did he have a moment of clarity? Of guilt? My guess is someone explained in 3 and 4 letter words he’s a fu€king racist and the #ChinaVirus might cost him the election.,taxesr4thepoor,229,0,
