Tweet Id,Text,Username,followers,listedcount,retweeted
1239702980087209986,Well he's not wrong #ChinaVirus,OtterObscene,7,0,
1239702827246608384,"I would say I'm at a loss for words but I'm really not. It's just that, you know, not supposed to say that ""r"" word anymore. #ChinaVirus https://t.co/XcL4f4zVF5",kickinghorse892,607,38,
1239702766077063168,"@frafortwo #ChinaIsTerrorist
#NonCooperation
#BoycottMadeInChina
#ChinaIsVirus
#ChinaVirus
#ChinaShameOnYou 
#BoycottChina",Animantium1,2077,32,
1239702718769438720,@MiaFarrow @realDonaldTrump Another limousine liberal here to educate the masses. #ChinaVirus #WuhanCoronavirus,meemsboutique,453,1,
1239702672636121088,@realDonaldTrump #WuhanVirus #ChinaVirus #ChinaWuhanVirus,PATTONSON,13,0,
1239702485796900870,#stayhomechallenge #covidー19uk #2A #StayHome #GoOut #2020election #Trump #ChinaVirus #WuhanLockDown @TwitchyTeam @Tyson_Fury @KatieTaylor https://t.co/Am1JDrLzPQ,georg_dreyman,173,0,
1239702401105326080,"@AmbLINSongtian Thank you for telling the world the truth.

The world owe you a big thank you.
🙏

Thank you for destroying everything and bringing #ChinaVirus to us all.🤧☠

Thank you for bringing shame to the Chinese race.

Thank you asshole!🤮
#CoronavirusOutbreak 
#coronapocolypse",buddyscottie,113,1,
1239702384068005891,#ChinaVirus,ZhanghanL,0,0,
1239702370780577792,@realDonaldTrump #CoronavirusOutbreak #ChinaVirus https://t.co/pQpHoBZ6US,pen_needle,187,0,
1239701977937752064,"This is the truth. China now is lying to the world. Please don’t forget, the source is from China. #ChinaVirus #CoronavirusOutbreak. China need to apologise to the whole world. https://t.co/YH0saJbeOm https://t.co/x2VTGKaBGW",yoyo08091,65,0,
1239701937865371648,@realDonaldTrump #WuhanCoronavirus or #ChinaVirus ?,Xinnie_thePoor,341,0,
1239701893158494208,I see a lot of criticism of Trump for calling #coronavirus the Chinese virus. Please understand that the Chinese government is engaged in a global propaganda campaign to tell everyone that the virus was created and spread by the U.S. military. We have to do something. #ChinaVirus,NomadTraveler_,550,6,
1239701783225741315,@RMConservative Why?  We need to know the reason why Italy became the epicentre after #chinazi  ? Who spread out #ChinaVirus  ?,Omarox0,37,0,
1239701777089470465,"@MiaFarrow @realDonaldTrump Wuhan China virus 
#chinavirus 
#wuhanchinavirus",southerngal56,2363,36,
1239701720030158850,"Trump got elected promising to keep out horde of rapists/drug dealers from Mexico. He robbed money/staff from CDC and NSC Pandemic Unit to pay for his ""fucking wall"". Now the real threat has arrived and he wants you to believe it's China's fault. Trump has killed us. #ChinaVirus",sabergermd,4315,13,
1239701426101555200,@AmbLINSongtian It is #ChinaVirus,Sheewa10,574,1,
1239701339577430019,@RepChipRoy @OversightDems @Jim_Jordan @RepGosar @virginiafoxx @RepThomasMassie The #WuhanCoronavirus should remind us all that we should never trust CCP #blamechina #ChinaVirus https://t.co/87N3YsLi6z,CarlosHui1,248,0,
1239701125718294532,"Insane! What on Earth is going on in people's minds, that they feel the need to buy every damn cereal box, water, and toilet paper on the market!? #ChinaVirus #CoronaVirus #Toronto https://t.co/QoEyiNyZBB",ValentinoPhotos,305,9,
1239701110811586560,"Us came to China wuhan during military world game, and then virus broken.That is ridiculous you fools named it  #ChinaVirus.anyway,your gov did anything yet?",yzkinki,3,0,
1239701061130055680,#COVID19PH #COVID2019 #ChinaVirus #COVID2019uk https://t.co/EdHOm7H4PK,QM_Ehilla,18,0,
1239701048132022279,"When we finally overcome this virus that originated in China and of which China silenced a doctor warning about it, the US should tell China it will not plan to repay loans to China for whatever economic impacts we face including additions to the debt.

#ChinaVirus",HuskerNation8,96,0,
1239701027361873921,Genuinely humbled by this!  #ChinaVirus #Pharmaceutical #medicaldevices #supplychain #HealthSecurity #HealthSecurityisNationalSecurity https://t.co/KP6eLXJQgX,AlanTonelson,4943,748,
1239700836734951424,Where was the rage when @CNN called it the #ChineseCoronavirus? That's where it came from. Fact. 🇺🇸 #ChinaCoronaVirus #ChinaVirus https://t.co/5T4eA3dgh3,RedWaveNation,747,2,
1239700774503899136,@QiweiM @oozername1688 @StephenMcDonell Happy to see People’s Republic of China 🇨🇳 screwed up by countries seriously affected by Emperor Pooh’s #ChinaVirus.,acgmt50889,24,0,
1239700715024429056,"The only thing we have to fear IS fear itself. Don’t Panic - Stay Calm
#ChinaVirus #WuhanVirus #COVID19
Seasonal flu kills about 290,000 to 650,000 worldwide each year, according to the World Health Organization (WHO)

So #ChinaVirus may be similar to regular flu?

Why the panic? https://t.co/3PYKqmnoJT",Incogneato76,324,6,
1239700613614706690,"@caroljsroth Agree, 100 percent. China's leadership lied to the entire world and let the world to become a sick place. If  calling #ChinaVirus is unacceptable, can we call it President Xi virus? #coronavirus #Trump",ross_ving,1064,48,
1239700605314174988,@yeriibear @gcfjoonies The Chinese knew about it in 2019 and didn't do anything about it until it got out of control. #ChinaVirus,RedWaveNation,747,2,
1239700596158062592,"#ChinaVirus 

Wie die Chinesen das westliche System zum Einsturz brachten. 

Graninger: „Die Maßnahmen sind zu spät“ | https://t.co/M8FpQWLB4L https://t.co/GJG5qd5iio",peterheine7,273,1,
